batting_team,bowling_team,venue,toss_winner,toss_decision,team1_win_pct,team2_win_pct,toss_win_match_win,target
Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,0.4473684210526316,0.5390070921985816,1,0
Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium,Chennai Super Kings,bat,0.5614035087719298,0.26373626373626374,1,1
Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings,bat,0.26373626373626374,0.5614035087719298,1,0
Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bat,0.5390070921985816,0.4500907441016334,0,0
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bat,0.4500907441016334,0.5390070921985816,0,1
Kolkata Knight Riders,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,Kolkata Knight Riders,bat,0.5027932960893855,0.4452690166975881,0,0
Delhi Capitals,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,Kolkata Knight Riders,bat,0.4452690166975881,0.5027932960893855,0,1
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.5614035087719298,0.4473684210526316,1,1
Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.4473684210526316,0.5614035087719298,1,0
Royal Challengers Bangalore,Pune Warriors,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,bat,0.4759916492693111,0.26373626373626374,1,1
Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,bat,0.26373626373626374,0.4759916492693111,1,0
Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Rajasthan Royals,bat,0.49269311064718163,0.5027932960893855,0,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,0.5027932960893855,0.49269311064718163,0,1
